When did this shutdown start?,What is the current status of the internet shutdown? Is it ongoing?,When did the shutdown finish?,Which country did the shutdown occur in?,What is the scope of the shutdown?,Which area(s) city(ies) or region(s) were affected by this shutdown?,What type of shutdown is this?,What services did this shutdown impact?,"Was this a full-network, or service-based, shutdown? ",Who ordered the shutdown?,Who was the decision maker? Please provide any further information you have on who ordered the shutdown.,What was the actual cause of the shutdown?,"Please provide further details on the actual cause of the internet shutdown, if known.",What is your primary source for this shutdown? ,"Please enter the reference links of the source if applicable. If there are more than one, divide them with a "";"" mark.",What was the official justification given for the shutdown?,Please give any further details on the official justification of the internet shutdown.,Has the Government acknowledged the shutdown?,Did the government or relevant authority give any legal justification or refer to a law?,"Did the government or relevant authority use a memo, court order or similar instrument? Please provide a brief summary.","Please include a link to the official statement relating to the shutdown, if available.","Please include a quote from the relevant authorities relating to the justification of the shutdown, if available.",Was Facebook specifically targeted?,Was Twitter specifically targeted?,Was WhatsApp specifically targeted?,Was Instagram specifically targeted?,Was Telegram specifically targeted?,Please list any other web-based services that were specifically targeted during the service-based shutdown. ,Were SMS services specifically targeted during the shutdown?,Were calling services specifically targeted during the shutdown?,Which Telco was involved in the shutting down of the internet or services?,Did the Telco acknowledge the shutdown happened?,"Please provide a source (one URL) if the Telco has acknowledged the shutdown, if possible.","Please provide a quote from the Telco if they have acknowledged the shutdown, if possible.",Did this shutdown involve an election?,Did this shutdown involve physical violence?,Have any human rights abuses been reported that specifically relate to this shutdown?,"Which of the following groups, if any, were impacted by the internet shutdown?",Please provide any further details on the users targeted in the shutdown.,Did users affected by the shutdown receive advance warning?,Please provide a short one- or two-sentence summary of the shutdown and the event that triggered it. Please note: This may be displayed publicly by Access Now.,"Please provide a reference link to an article about the shutdown on Access Now's homepage, if applicable.",Please include any notes about this shutdown you feel are relevant for the KIO team. They will not be shared with external partners. 
3/13/2021,Ended,3/15/2021,India,"It only affected one city, county, or village","Shopian district, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,"Inspector General of the Kashmir Police, later confirmed by the Principal Secretary to the Government of J&K",Political instability,Security forces operation which resulted in an encounter and death of alleged armed militants ,Other,http://jkhome.nic.in/pdf/11(TSTS)2021.pdf,National security/ Counter-terrorism,Security of the state and maintaining public order.,Yes,Yes,"Yes. The IGP justified the shutdown in national security and maintenance of the public order, considering the encounter among security forces and armed militants, which resulted in the death among the latter. Order -  11(TSTS) of 2021.",http://jkhome.nic.in/pdf/11(TSTS)2021.pdf,,No,No,No,No,No,,No,No,,No,,,No,Yes,No,,,No,"A mobile internet shutdown occurred in Shopian district during and after a security forces operation resulting in the killing of three alleged armed militants, in Rawalpora, Shopian.",,
3/15/2021,Ended,,Jordan,Not sure,,Throttle,"Broadband, Mobile",Service-based,Unknown,,Protests,Protests against government response to covid-19.,CSO KIO partners,"https://jordanopensource.org/blog/74/josa-in-light-of-the-latest-internet-shutdowns-the-right-to-internet-access-without-restrictions-must-be-ensured; https://www.accessnow.org/jordanprotests/; https://arabic.rt.com/middle_east/1211951-%D8%B1%D9%88%D9%8A%D8%AA%D8%B1%D8%B2-%D8%A7%D9%84%D8%B4%D8%B1%D8%B7%D8%A9-%D8%A7%D9%84%D8%A3%D8%B1%D8%AF%D9%86%D9%8A%D8%A9-%D8%AA%D8%B3%D8%AA%D8%AE%D8%AF%D9%85-%D8%A7%D9%84%D8%BA%D8%A7%D8%B2-%D8%A7%D9%84%D9%85%D8%B3%D9%8A%D9%84-%D9%84%D9%84%D8%AF%D9%85%D9%88%D8%B9-%D9%84%D8%AA%D9%81%D8%B1%D9%8A%D9%82-%D8%A7%D8%AD%D8%AA%D8%AC%D8%A7%D8%AC%D8%A7%D8%AA-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A5%D8%BA%D9%84%D8%A7%D9%82/ 
 ",Unknown,,No,,,,,Yes,No,No,No,No,,No,No,,No,,,No,Yes,Unknown,,,No,Service-based shutdown targeting Facebook Live Streaming in reaction to protests against government due to its response to covid-19.,,https://www.accessnow.org/jordanprotests/
3/16/2021,Ongoing,,China,"It affected locations in more than one state, province, or region",Nationwide except for HK SAR,Shutdown,"Broadband, Mobile",Service-based,Executive government,,Information control,,News media article,https://techcrunch.com/2021/03/15/signal-is-down-in-china/ ,Unknown,,No,,,,,No,No,No,No,No,Signal,No,No,"China Telecom, China Unicom, China Mobile",,,,No,No,No,,,No,Signal app was shutdown in China after a surge in downloads in Feb/March.,,
3/20/2021,Ended,3/23/2021,Congo,"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Full network,Executive government,,Elections,,CSO KIO partners,https://www.accessnow.org/congo-keepiton-election/; https://twitter.com/accessnow/status/1373657085221740547; https://twitter.com/DougMadory/status/1374729708319965184?s=20,Unknown,,Unknown,,,,,No,No,No,No,No,,No,No,"Congo: Airtel (Bharti Airtel), Congo: Azur (Bintel), Congo: MTN",No,,,Yes,No,No,,,No,Congo suffered a full shutdown during its election at March 20 and a few days after.,https://www.accessnow.org/congo-keepiton-election/,
3/21/2021,Ended,3/22/2021,India,"It only affected one city, county, or village","District of Shopian, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,"Inspector General of the Kashmir Police, later confirmed by the Principal Secretary to the Government of J&K",Political instability,Security forces operation which resulted in an encounter and death of alleged armed militants ,Other,http://jkhome.nic.in/pdf/12(TSTS)2021.pdf,National security/ Counter-terrorism,Security of the state and maintaining public order.,Yes,Yes,"Yes. The IGP justified the shutdown in national security and maintenance of the public order, considering the encounter among security forces and armed militants, which resulted in the death among the latter. Order -  12(TSTS) of 2021.",http://jkhome.nic.in/pdf/12(TSTS)2021.pdf,,No,No,No,No,No,,No,No,,No,,,No,Yes,Unknown,,,No,"A mobile internet shutdown occurred in Shopian district during and after security forces operation resulting in the killing of four alleged armed militants, Manihal, Shopian.",,
3/25/2021,Ended,3/25/2021,Belarus,"It affected locations in more than one state, province, or region",,Shutdown,"Broadband, Mobile",Service-based,Executive government,Ministry of Information,Unknown,,CSO KIO partners,https://twitter.com/natynettle/status/1375192680054022145,Technical problems/ Infrastructure failure,Collateral blocking,Yes,Unknown,,,,Yes,Yes,No,No,No,,No,No,,Unknown,,,No,No,No,,,No,Facebook and twitter were blocked for a few hours after the Minister of Information tried to block specific pages in the platforms.,,
3/26/2021,Ended,3/26/2021,Bangladesh,"It affected locations in more than one state, province, or region",,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Protests,Protests during India's Prime Minister Modi visited Bangladesh ,News media article,https://www.thedailystar.net/bangladesh/news/amid-modi-visit-facebook-says-services-restricted-bangladesh-2067693,Unknown,,Unknown,,,,,Yes,No,No,No,No,Messenger,No,No,,Unknown,,,No,Unknown,Unknown,,,No,Facebook and facebook messenger were shutdown during protests amid India's Prime Minister Modi visit to Bangladesh.,,
3/27/2021,Ended,3/27/2021,India,"It only affected one city, county, or village","Shopian district, in Jammu and Kashmir",Shutdown,Unknown,Full network,Unknown,,Political instability,Security forces operation which resulted in an encounter and death of alleged armed militants ,News media article,https://in.news.yahoo.com/two-militants-soldier-killed-gunfight-182754444.html; https://www.risingkashmir.com/home/news_description/374213/2-militants-soldier-killed-in-Shopian-encounter,Precautionary measure,,Unknown,,,,,No,No,No,No,No,,No,No,,No,,,No,Yes,Unknown,,,No,"The internet service was snapped in the entire Shopian district as a precautionary measure to an encounter between security forces and alleged terrorists, which resulted in the death of 2 of the latter.",,
3/27/2021,Ended,3/28/2021,Kazakhstan,"It affected locations in more than one state, province, or region",,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Protests,,CSO KIO partners,https://t.me/s/internetkz; https://t.me/heraks2net/30,Unknown,,No,,,,,Yes,No,Yes,Yes,Yes,,No,No,,No,,,No,No,No,,,No,"Social media platforms (Facebook, Instagram, Whatsapp, Telegram) were shutdown during protests against the government.",,
3/28/2021,Ended,3/28/2021,Kazakhstan,"It affected locations in more than one state, province, or region",Cities of Almaty and Nur-Sultan,Shutdown,"Broadband, Mobile","Full network, Service-based",Unknown,,Protests,,CSO KIO partners,https://www.accessnow.org/internet-shutdowns-kazakhstan-feb-28-protests/; https://www.aljazeera.com/news/2021/2/28/dozens-detained-at-kazakhstan-political-prisoner-protest ,Unknown,,No,,,,,No,No,No,No,No,,No,No,,No,,,No,Yes,Yes,,,No,"The complete shutdown coincides with the anti-government protests in several Kazakh cities calling for the release of political prisoners, following a resolution passed by the European Parliament on human rights in the country. The authorities responded with violence and detained approximately 50 protesters. ",https://www.accessnow.org/internet-shutdowns-kazakhstan-feb-28-protests/,
4/2/2021,Ended,,India,"It only affected one city, county, or village","Pulwama district, in Jammu and Kashmir",Shutdown,Mobile,Full network,Unknown,,Political instability,Security forces operation which resulted in an encounter and death of alleged armed militants ,Other,https://www.uniindia.com/pulwama-encounter-3-militants-killed-operation-continues/north/news/2359978.html; https://kashmirpulse.com/jk/kashmir/shutdown-in-pulwama-after-kakapora-gunfight/58471.html,Unknown,,Unknown,,,,,No,No,No,No,No,,No,No,,No,,,No,Yes,Unknown,,,No,Mobile internet services were suspended in Pulwama to prevent rumours amidst the encounter. ,,
4/5/2021,Ended,,India,"It only affected one city, county, or village",Sopore police district in Baramulla district of Jammu and Kashmir,Shutdown,Unknown,Full network,Local government,,Political instability,Security forces operation which resulted in an encounter and death of armed militants ,CSO KIO partners,https://timesofindia.indiatimes.com/india/2-lashkar-terrorists-killed-in-sopore-encounter/articleshow/82397144.cms;,Unknown,,Unknown,,,,,No,No,No,No,No,,No,No,,No,,,No,Yes,Unknown,,,No,Internet services were suspended during an encounter between security forces and alleged armed militants in Baramulla district in Kashmir. ,,
4/8/2021,Ended,,India,"It affected more than one city in the same state, province, or region","Shopian and Pulwama districts, in Jammu and Kashmir",Shutdown,Mobile,Full network,Unknown,Security forces operation which resulted in an encounter and death of alleged armed militants ,Political instability,,CSO KIO partners,https://www.indiatoday.in/india/story/encounter-breaks-out-in-south-kashmir-s-shopian-town-2-3-terrorists-trapped-1788658-2021-04-08,Unknown,,Unknown,,,,,No,No,No,No,No,,No,No,,No,,,No,Yes,Unknown,,,No,,,
4/11/2021,Ended,4/13/2021,India,"It only affected one city, county, or village","Chhabra town, Baran district of Rajasthan's ",Shutdown,"Broadband, Mobile",Full network,Unknown,Divisional Commissioner,Communal violence,"According to police, the riots erupted after two men from the Gujjar community were allegedly stabbed by members of the Muslim community following an argument late on Saturday. Mobile internet was suspended on Sunday, April 11 until April 13.",News media article,https://www.daijiworld.com/news/newsDisplay?newsID=822918; https://www.hindustantimes.com/cities/jaipur-news/rajasthan-curfew-imposed-internet-suspended-after-riots-101618169951058.html; https://www.indiatoday.in/india/story/violence-baran-rajasthan-curfew-internet-suspended-1789884-2021-04-12,Public safety/ Quell unrest / Restore public order,,Yes,Unknown,,,,No,No,No,No,No,,No,No,,No,,,No,No,No,,,No,"According to police, the riots erupted after two men from the Gujjar community were allegedly stabbed by members of the Muslim community following an argument late on Saturday. Mobile and broadband internet was suspended on Sunday, April 11 until April 13.",,
4/16/2021,Ended,4/16/2021,Pakistan,"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Service-based,Executive government,Ministry of Interior,Protests,Social media was shutdown as authorities cracked down on protests against Charlie Hebdo cartoons,News media article,https://www.ft.com/content/df26e1d8-2221-46a1-9223-49df71302d57; https://pbs.twimg.com/media/EzFAX1LVEAUjMNQ.jpg; https://twitter.com/usamakhilji/status/1382957348008824832; https://transparencyreport.google.com/traffic/overview?fraction_traffic=start:1617408000000;end:1619654399999;product:21;region:PK&lu=fraction_traffic,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,Yes,,,,,Yes,Yes,Yes,Unknown,Yes,Youtube,No,No,,Yes,https://www.ft.com/content/df26e1d8-2221-46a1-9223-49df71302d57,,No,No,No,,,,"Social media were shutdown in anticipation of anti-government protests by recently banned right-wing political party which apposed the government's retreat in an agreement to expel the French Ambassador, as the government responses to the charges of Charlie Hebdo. 
",,
5/6/2021,Ended,,India,"It only affected one city, county, or village",Shopian district of Jammu and Kashmir ,Shutdown,Unknown,Full network,Local government,,Political instability,Security forces operation which resulted in an encounter and death of armed militants ,CSO KIO partners,https://www.news18.com/news/india/3-killed-in-encounter-between-security-forces-and-militants-in-j-ks-shopian-3711194.html,Unknown,,Unknown,,,,,No,No,No,No,No,,No,No,,No,,,No,Yes,Unknown,,,No,Mobile internet was shutdown in Shopian district amidst an encounter that took place in the region.,,
5/12/2021,Ended,5/25/2021,"Palestine, State of","It affected more than one city in the same state, province, or region",Gaza strip,"Shutdown, Throttle","Broadband, Mobile",Full network,Non-government,Military of the State of Israel ,Other,"Military conflict, Bombing of infrastructure",CSO KIO partners,"https://www.theguardian.com/world/2021/may/15/israeli-strikes-destroy-gaza-jalaa-tower-media-al-jazeera-associated-press; https://twitter.com/maasalan/status/1394221825723412482; https://twitter.com/DougMadory/status/1393940954604883972; https://twitter.com/caida_ioda/status/1393959216595959810?s=21;
https://smex.org/israeli-airstrikes-destroyed-internet-infrastructure-in-gaza-report/",Sabotage/ Third-party Action,Military target ,No,,,,,No,No,No,No,No,,No,No,,Unknown,,,No,Yes,Yes,,,No,"There was a full shutdown among some telecommunication companies at the Gaza strip,  after Israeli Airforce bombings in the region (electrictiy outage as well). One of the the internet outages started at the same time as the bombing of the Al-Jalaa tower, where Associated Press and Al Jazeera operated, as well as Telecoms (May 15). The bombing of the Al-Jawahra tower also affected telecom operators with infrastructure in the building (May 12).  ",,
5/16/2021,Ended,5/16/2021,Ethiopia,"It affected locations in more than one state, province, or region",,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Unknown,,Confidential,,Unknown,https://www.reuters.com/world/africa/social-media-restricted-ethiopia-netblocks-says-2021-05-17/,No,,,,,Yes,No,Yes,Yes,No,,No,,Ethiopia: Ethio Telecom,No,,,No,No,No,,,No,Facebook services were shutdown on May 16 and restored May 17 in Ethiopia.,,
5/17/2021,Ended,,India,"It only affected one city, county, or village",Pulwama district in Jammu and Kashmir,Shutdown,Unknown,Full network,Local government,,Political instability,Security forces operation in Pulwama,CSO KIO partners,https://thekashmirimages.com/2021/05/17/no-internet-in-pulwama-students-urge-ku-to-postpone-online-test/,Unknown,,Unknown,,,,,No,No,No,No,No,,No,No,,No,,,No,Yes,Unknown,Students who are scheduled to take exams online,,No,Internet services have been snapped in the Pulwama Kashmir district following a gunfight in Khanmoh area.,,
5/31/2021,Ended,5/31/2021,Syrian Arab Republic,"It affected locations in more than one state, province, or region",nationwide,Shutdown,"Broadband, Mobile",Full network,Executive government,The Minister of Education Darem Tabbaa,Exam cheating,General Examination for the High School students in Syria,Confidential,"https://smex.org/another-internet-blackout-in-syria-during-exams/
https://twitter.com/SkySyria_org/status/1398679949683347462; https://www.zarkachat.com/general-exam-internet-syria-2021; https://twitter.com/Thevoicesyria1/status/1398595420079730693; https://twitter.com/khalediskef/status/1398592990487121921; https://twitter.com/DougMadory/status/1399432052743852033",School exams,Prevent exam cheating during National High School Exams,Yes,Unknown,,https://www.zarkachat.com/general-exam-internet-syria-2021/,,No,No,No,No,No,,No,No,Syrian Telecom,Unknown,,,No,No,No,,,Yes,The Syrian government shut down mobile and fixed internet across the country during the General Examination for High School students. This was the first of a series of scheduled shutdowns.,,
